95.164.159.93 - - [07/Apr/2024:02:29:18 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 200 5289 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "95.164.159.93" response-time=0.006
99.250.177.58 - - [07/Apr/2024:02:30:57 +0000] "GET /static/core/images/data_collection.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYYgQndC6StIDqUyWqAj4ba79qtsxrR-XMc-KK536-NprpYPWKS--z-tLw_aem_AYtuucGKwSIAcikA7KEE5vvzemhCzHsBpuOCCdaut54tHsO-LKs02WsKtXogjWhxZNg" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.004
99.250.177.58 - - [07/Apr/2024:02:30:57 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYYgQndC6StIDqUyWqAj4ba79qtsxrR-XMc-KK536-NprpYPWKS--z-tLw_aem_AYtuucGKwSIAcikA7KEE5vvzemhCzHsBpuOCCdaut54tHsO-LKs02WsKtXogjWhxZNg" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.004
99.250.177.58 - - [07/Apr/2024:02:30:57 +0000] "GET /static/core/images/parth.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYYgQndC6StIDqUyWqAj4ba79qtsxrR-XMc-KK536-NprpYPWKS--z-tLw_aem_AYtuucGKwSIAcikA7KEE5vvzemhCzHsBpuOCCdaut54tHsO-LKs02WsKtXogjWhxZNg" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
173.252.107.7 - - [07/Apr/2024:02:31:00 +0000] "GET /robots.txt HTTP/1.1" 404 207 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "173.252.107.7" response-time=0.002
173.252.107.116 - - [07/Apr/2024:02:31:01 +0000] "GET / HTTP/1.1" 200 3144 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "173.252.107.116" response-time=0.002
173.252.107.118 - - [07/Apr/2024:02:31:02 +0000] "GET / HTTP/1.1" 200 13209 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "173.252.107.118" response-time=0.002
173.252.107.1 - - [07/Apr/2024:02:31:02 +0000] "GET /static/core/js/script.js HTTP/1.1" 200 1207 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "173.252.107.1" response-time=0.003
99.250.177.58 - - [07/Apr/2024:02:31:02 +0000] "GET /static/core/images/parth.png HTTP/1.1" 200 325649 "-" "Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227) AppleWebKit/420+" "99.250.177.58" response-time=0.007
69.171.249.5 - - [07/Apr/2024:02:31:03 +0000] "GET / HTTP/1.1" 200 13209 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "69.171.249.5" response-time=0.003
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/se_figma.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/data_collection.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.003
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/js/script.js HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.004
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/de_storage.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.001
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.003
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/css/styles.css HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.003
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/de_processing.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.005
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/de_modeling.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/data_transformation.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/parth.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/de_prot.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.003
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/de_opt.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:02:31:06 +0000] "GET /static/core/images/data_maintenance.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAaYRLAE9TcZcRqGT58v-8wxSNerPeUn0_QAtQ1swNkACypVXCoorfQgLdNc_aem_AURkUg2tHjKsNKycnEWZ8Bp2OMercjLWXu_zGBaTbBTxAsWjAxLljZzUaaefZyw6d6Q" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
47.242.224.70 - - [07/Apr/2024:03:10:18 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.3319.102 Safari/537.36" "47.242.224.70" response-time=0.002
47.242.224.70 - - [07/Apr/2024:03:10:18 +0000] "GET //static/core/js/script.js HTTP/1.1" 200 609 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:25.0) Gecko/20100101 Firefox/29.0" "47.242.224.70" response-time=0.004
149.56.160.135 - - [07/Apr/2024:05:46:22 +0000] "GET / HTTP/1.1" 200 13209 "-" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.160.135" response-time=0.003
149.56.160.135 - - [07/Apr/2024:05:46:22 +0000] "GET /robots.txt HTTP/1.1" 404 207 "-" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.160.135" response-time=0.002
149.56.160.135 - - [07/Apr/2024:05:46:22 +0000] "GET / HTTP/1.1" 200 13209 "-" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.160.135" response-time=0.001
149.56.160.135 - - [07/Apr/2024:05:46:22 +0000] "GET /sitemap.xml HTTP/1.1" 404 207 "-" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.160.135" response-time=0.001
149.56.160.135 - - [07/Apr/2024:05:46:22 +0000] "GET /security.txt HTTP/1.1" 404 207 "http://www.parth-dataexpert.com/security.txt" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.160.135" response-time=0.001
149.56.160.135 - - [07/Apr/2024:05:46:22 +0000] "GET /.well-known/security.txt HTTP/1.1" 404 207 "http://www.parth-dataexpert.com/.well-known/security.txt" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.160.135" response-time=0.001
149.56.160.135 - - [07/Apr/2024:05:46:22 +0000] "GET / HTTP/1.1" 200 13209 "-" "Mozilla/5.0 (Linux; Android 10; SM-G981B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Mobile Safari/537.36" "149.56.160.135" response-time=0.001
149.56.160.135 - - [07/Apr/2024:05:46:23 +0000] "GET /ads.txt HTTP/1.1" 404 207 "http://www.parth-dataexpert.com/ads.txt" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.160.135" response-time=0.001
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/css/styles.css HTTP/1.1" 200 1730 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.006
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/js/script.js HTTP/1.1" 200 609 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 200 5289 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/se_figma.png HTTP/1.1" 200 5363 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/parth.png HTTP/1.1" 200 325649 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.006
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/data_collection.png HTTP/1.1" 200 2621 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/de_processing.png HTTP/1.1" 200 4868 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/de_storage.png HTTP/1.1" 200 4172 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/data_transformation.png HTTP/1.1" 200 6100 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.003
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/de_modeling.png HTTP/1.1" 200 4448 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.003
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/de_prot.png HTTP/1.1" 200 4012 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.003
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/de_opt.png HTTP/1.1" 200 6844 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
149.56.150.109 - - [07/Apr/2024:05:46:53 +0000] "GET /static/core/images/data_maintenance.png HTTP/1.1" 200 3460 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (compatible; Dataprovider.com)" "149.56.150.109" response-time=0.002
35.205.159.124 - - [07/Apr/2024:07:37:45 +0000] "GET / HTTP/1.1" 200 13209 "-" "python-requests/2.23.0" "35.205.159.124" response-time=0.001
171.244.43.14 - - [07/Apr/2024:08:03:40 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36" "171.244.43.14" response-time=0.002
8.134.49.243 - - [07/Apr/2024:10:10:44 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Linux; U; Android 8.1.0; zh-cn; BLA-AL00 Build/HUAWEIBLA-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/8.9 Mobile Safari/537.36" "8.134.49.243" response-time=0.003
123.60.68.42 - - [07/Apr/2024:10:21:18 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Windows NT 7.4; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3110.88 Safari/537.36" "123.60.68.42" response-time=0.001
47.242.224.70 - - [07/Apr/2024:10:51:42 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9a3pre) Gecko/20070330" "47.242.224.70" response-time=0.001
47.242.224.70 - - [07/Apr/2024:10:51:42 +0000] "GET //static/core/js/script.js HTTP/1.1" 200 609 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36" "47.242.224.70" response-time=0.007
17.241.219.217 - - [07/Apr/2024:11:03:49 +0000] "GET /robots.txt HTTP/1.1" 404 207 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "17.241.219.217" response-time=0.001
17.241.219.217 - - [07/Apr/2024:11:03:49 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" "17.241.219.217" response-time=0.001
